% Model:              PLacek_MembTVNJ_ArticleDims_Rh100um_hg10um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 22 2025, 12:28
% Dimension:          1
% Nodes:              1801
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(xi)
1.7676860453270008E-5     2.8035480259873038E-11
1.7846929330064768E-5     2.8034757496055407E-11
1.8016998206859532E-5     2.803402781217851E-11
1.8187067083654292E-5     2.8033291208242343E-11
1.8357135960449056E-5     2.8032547684246907E-11
1.852720483724382E-5      2.803179724037398E-11
1.8697273714038584E-5     2.8031039876436854E-11
1.8867342590833344E-5     2.8030275592435537E-11
1.9037411467628108E-5     2.8029504388370022E-11
1.9207480344422872E-5     2.8028726264240307E-11
1.9377549221217633E-5     2.80279412200464E-11
1.9547618098012396E-5     2.8027149255949063E-11
1.9717686974807157E-5     2.8026350371763258E-11
1.9887755851601917E-5     2.8025544567488993E-11
2.005782472839668E-5      2.8024731843126265E-11
2.0227893605191438E-5     2.802391219867508E-11
2.0397962481986202E-5     2.802308563413543E-11
2.0568031358780966E-5     2.8022252149647233E-11
2.073810023557573E-5      2.8021411745023985E-11
2.090816911237049E-5      2.8020564420265686E-11
2.1078237989165254E-5     2.801971017537233E-11
2.1248306865960018E-5     2.8018849010343924E-11
2.141837574275478E-5      2.8017980925180468E-11
2.1588444619549542E-5     2.8017105920003506E-11
2.1758513496344303E-5     2.8016223994621486E-11
2.1928582373139063E-5     2.8015335149034413E-11
2.2098651249933827E-5     2.801443938324229E-11
2.2268720126728584E-5     2.8013536697245115E-11
2.2438789003523348E-5     2.8012627091042888E-11
2.2608857880318112E-5     2.8011710564741033E-11
2.2778926757112876E-5     2.8010787118138986E-11
2.2948995633907636E-5     2.8009856751236737E-11
2.3119064510702397E-5     2.8008919464034286E-11
2.3289133387497164E-5     2.8007975256531646E-11
2.3459202264291924E-5     2.80070241287288E-11
2.3629271141086688E-5     2.8006066080713117E-11
2.379934001788145E-5      2.800510111227093E-11
2.396940889467621E-5      2.8004129223402238E-11
2.4139477771470973E-5     2.8003150414107048E-11
2.4309546648265737E-5     2.8002164684385356E-11
2.4479615525060497E-5     2.8001172034237165E-11
2.464968440185526E-5      2.8000172463732434E-11
2.481975327865002E-5      2.7999165972641147E-11
2.4989822155444785E-5     2.7998152560963295E-11
2.515989103223955E-5      2.7997132228698885E-11
2.532995990903431E-5      2.7996104975847917E-11
2.5500028785829074E-5     2.799507080241039E-11
2.5670097662623834E-5     2.7994029708436707E-11
2.5840166539418598E-5     2.7992981693678082E-11
2.6010235416213362E-5     2.7991926758134505E-11
2.6180304293008122E-5     2.799086490180598E-11
2.6350373169802883E-5     2.7989796124692515E-11
2.6520442046597647E-5     2.79887204267941E-11
2.669051092339241E-5      2.7987637808137666E-11
2.686057980018717E-5      2.7986548268453405E-11
2.703064867698193E-5      2.7985451807741318E-11
2.7200717553776692E-5     2.7984348426001407E-11
2.7370786430571456E-5     2.798323812323367E-11
2.7540855307366216E-5     2.7982120899438115E-11
2.771092418416098E-5      2.7980996754618684E-11
2.7880993060955744E-5     2.7979865688481678E-11
2.8051061937750504E-5     2.7978727701027092E-11
2.8221130814545265E-5     2.7977582792254927E-11
2.839119969134003E-5      2.797643096216519E-11
2.8561268568134793E-5     2.797527221075788E-11
2.8731337444929556E-5     2.797410653800993E-11
2.890140632172432E-5      2.797293394360103E-11
2.907147519851908E-5      2.797175442753118E-11
2.9241544075313845E-5     2.7970567989800378E-11
2.9411612952108605E-5     2.796937463040863E-11
2.958168182890337E-5      2.796817434935593E-11
2.975175070569813E-5      2.7966967146591874E-11
2.9921819582492897E-5     2.7965753021766336E-11
3.0091888459287654E-5     2.7964531974879325E-11
3.0261957336082418E-5     2.7963304005930834E-11
3.0432026212877178E-5     2.7962069114920876E-11
3.060209508967194E-5      2.796082730184944E-11
3.07721639664667E-5       2.7959578566643068E-11
3.0942232843261466E-5     2.7958322908916497E-11
3.111230172005623E-5      2.795706032866974E-11
3.1282370596850994E-5     2.7955790825902786E-11
3.145243947364575E-5      2.795451440061564E-11
3.1622508350440515E-5     2.79532310528083E-11
3.179257722723528E-5      2.7951940782367838E-11
3.196264610403004E-5      2.7950643588870344E-11
3.21327149808248E-5       2.7949339472315814E-11
3.2302783857619563E-5     2.7948028432704256E-11
3.247285273441433E-5      2.7946710470035662E-11
3.264292161120909E-5      2.794538558431004E-11
3.2812990488003855E-5     2.7944053775381654E-11
3.298305936479862E-5      2.7942715042783726E-11
3.315312824159338E-5      2.7941369386516247E-11
3.332319711838814E-5      2.7940016806579226E-11
3.3493265995182904E-5     2.793865730297266E-11
3.366333487197767E-5      2.7937290875696544E-11
3.383340374877243E-5      2.793591752456519E-11
3.400347262556719E-5      2.7934537249065158E-11
3.417354150236195E-5      2.7933150049196434E-11
3.434361037915671E-5      2.7931755924959028E-11
