% Model:              PLacek_MembTVNJ_ArticleDims_Rh20um_hg5um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:51
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(xi)
4.588370211013267E-5      1.363159999879249E-10
4.631150732543547E-5      1.3610087352803284E-10
4.673931254073827E-5      1.358838238050312E-10
4.716711775604109E-5      1.3566485081891997E-10
4.759492297134389E-5      1.354439545696992E-10
4.80227281866467E-5       1.3522113505736882E-10
4.845053340194951E-5      1.3499639228192883E-10
4.8878338617252316E-5     1.3476974555491938E-10
4.9306143832555124E-5     1.3454121751921779E-10
4.9733949047857926E-5     1.3431080817482403E-10
5.0161754263160735E-5     1.340785175217381E-10
5.0589559478463544E-5     1.3384434555996012E-10
5.1017364693766346E-5     1.3360829228948989E-10
5.1445169909069154E-5     1.3337035771032754E-10
5.187297512437196E-5      1.3313056332161233E-10
5.230078033967478E-5      1.3288893363150847E-10
5.272858555497758E-5      1.3264546864001595E-10
5.315639077028039E-5      1.3240016834713477E-10
5.35841959855832E-5       1.3215303275286502E-10
5.4012001200886006E-5     1.3190406185720659E-10
5.4439806416188815E-5     1.316532556601595E-10
5.4867611631491624E-5     1.3140063767540404E-10
5.529541684679443E-5      1.31146234145366E-10
5.5723222062097234E-5     1.308900450700454E-10
5.6151027277400036E-5     1.3063207044944226E-10
5.657883249270284E-5      1.3037231028355657E-10
5.7006637708005654E-5     1.3011076457238828E-10
5.7434442923308456E-5     1.2984743331593748E-10
5.786224813861127E-5      1.2958234189136828E-10
5.829005335391407E-5      1.293155181554265E-10
5.8717858569216875E-5     1.290469621081121E-10
5.914566378451969E-5      1.287766737494251E-10
5.957346899982249E-5      1.285046530793656E-10
6.00012742151253E-5       1.2823090009793344E-10
6.042907943042811E-5      1.2795541480512872E-10
6.085688464573092E-5      1.2767822430649495E-10
6.128468986103373E-5      1.273993579621287E-10
6.171249507633653E-5      1.271188157720299E-10
6.214030029163933E-5      1.2683659773619857E-10
6.256810550694215E-5      1.265527038546348E-10
6.299591072224495E-5      1.2626713412733844E-10
6.342371593754775E-5      1.2597988855430957E-10
6.385152115285055E-5      1.2569099584662718E-10
6.427932636815337E-5      1.254004867639926E-10
6.470713158345617E-5      1.251083613064059E-10
6.513493679875897E-5      1.2481461947386705E-10
6.556274201406177E-5      1.245192612663761E-10
6.599054722936459E-5      1.2422228668393294E-10
6.641835244466739E-5      1.239236957265377E-10
6.68461576599702E-5       1.2362351859760856E-10
6.727396287527301E-5      1.2332178735849907E-10
6.770176809057582E-5      1.2301850200920924E-10
6.812957330587863E-5      1.2271366254973906E-10
6.855737852118144E-5      1.2240726898008854E-10
6.898518373648426E-5      1.2209932130025766E-10
6.941298895178706E-5      1.2178981951024642E-10
6.984079416708987E-5      1.2147879520026302E-10
7.026859938239266E-5      1.2116628164005824E-10
7.069640459769546E-5      1.208522788296321E-10
7.112420981299828E-5      1.205367867689846E-10
7.15520150283011E-5       1.202198054581158E-10
7.197982024360388E-5      1.1990133489702555E-10
7.24076254589067E-5       1.19581375085714E-10
7.283543067420951E-5      1.192599589017438E-10
7.326323588951232E-5      1.1893712073388738E-10
7.369104110481512E-5      1.1861286058214466E-10
7.411884632011793E-5      1.1828717844651569E-10
7.454665153542074E-5      1.179600743270005E-10
7.497445675072354E-5      1.17631548223599E-10
7.540226196602635E-5      1.1730160013631127E-10
7.583006718132917E-5      1.1697026413556199E-10
7.625787239663197E-5      1.1663757564308066E-10
7.668567761193477E-5      1.1630353465886721E-10
7.711348282723757E-5      1.1596814118292173E-10
7.754128804254038E-5      1.1563139521524421E-10
7.796909325784319E-5      1.1529329675583457E-10
7.8396898473146E-5        1.1495384580469287E-10
7.88247036884488E-5       1.1461307753470016E-10
7.925250890375161E-5      1.1427102831744379E-10
7.968031411905441E-5      1.1392769815292377E-10
8.010811933435721E-5      1.1358308704114008E-10
8.053592454966002E-5      1.1323719498209276E-10
8.096372976496282E-5      1.1289002197578174E-10
8.139153498026563E-5      1.1254156802220708E-10
8.181934019556845E-5      1.1219186930989965E-10
8.224714541087125E-5      1.1184096307976981E-10
8.267495062617405E-5      1.1148884933181758E-10
8.310275584147686E-5      1.1113552806604296E-10
8.353056105677967E-5      1.1078099928244597E-10
8.395836627208249E-5      1.1042526298102653E-10
8.438617148738529E-5      1.1006831916178472E-10
8.48139767026881E-5       1.0971020494556966E-10
8.52417819179909E-5       1.0935095836330589E-10
8.566958713329371E-5      1.0899057941499334E-10
8.609739234859652E-5      1.0862906810063207E-10
8.652519756389932E-5      1.082664244202221E-10
8.695300277920214E-5      1.0790264837376337E-10
8.738080799450494E-5      1.0753773996125592E-10
8.780861320980776E-5      1.0717173715550528E-10
8.823641842511056E-5      1.0680467869618853E-10
8.866422364041336E-5      1.0643656458330562E-10
8.909202885571618E-5      1.0606739481685658E-10
8.951983407101899E-5      1.0569716939684142E-10
8.99476392863218E-5       1.0532588832326011E-10
9.037544450162461E-5      1.0495355159611267E-10
9.080324971692743E-5      1.0458019795943285E-10
9.123105493223023E-5      1.0420586677664696E-10
9.165886014753303E-5      1.0383055804775494E-10
9.208666536283583E-5      1.0345427177275681E-10
9.251447057813863E-5      1.0307700795165264E-10
9.294227579344145E-5      1.0269876658444232E-10
9.337008100874425E-5      1.0231954767112593E-10
9.379788622404705E-5      1.0193939062739169E-10
9.422569143934985E-5      1.0155833538722814E-10
9.465349665465267E-5      1.0117638195063528E-10
9.508130186995547E-5      1.007935303176131E-10
9.550910708525827E-5      1.0040978048816164E-10
9.593691230056108E-5      1.0002513246228084E-10
9.636471751586388E-5      9.963958623997074E-11
9.679252273116668E-5      9.925318184587093E-11
9.72203279464695E-5       9.886595976597341E-11
9.764813316177228E-5      9.847792000027817E-11
9.80759383770751E-5       9.808906254878523E-11
9.85037435923779E-5       9.769938741149462E-11
9.893154880768072E-5      9.730889458840626E-11
9.935935402298352E-5      9.691758407952021E-11
9.978715923828633E-5      9.652549655284478E-11
1.0021496445358912E-4     9.613267283184844E-11
1.0064276966889192E-4     9.573911291653124E-11
1.0107057488419474E-4     9.534481680689313E-11
1.0149838009949755E-4     9.494978450293417E-11
1.0192618531480036E-4     9.45540160046543E-11
1.0235399053010316E-4     9.415751131205356E-11
1.0278179574540597E-4     9.376031147624099E-11
1.0320960096070879E-4     9.336245768485571E-11
1.0363740617601158E-4     9.296394993789772E-11
1.0406521139131439E-4     9.256478823536702E-11
1.0449301660661721E-4     9.216497257726364E-11
1.0492082182192001E-4     9.17645029635875E-11
1.0534862703722283E-4     9.13633793943387E-11
1.0577643225252563E-4     9.096164331719549E-11
1.0620423746782844E-4     9.055933621948816E-11
1.0663204268313123E-4     9.01564581012167E-11
1.0705984789843405E-4     8.975300896238113E-11
1.0748765311373686E-4     8.934898880298146E-11
1.0791545832903966E-4     8.894439762301763E-11
1.0834326354434247E-4     8.853923542248971E-11
1.0877106875964528E-4     8.813354398716278E-11
1.0919887397494808E-4     8.77273650340789E-11
1.0962667919025089E-4     8.732069856323805E-11
1.100544844055537E-4      8.691354457464027E-11
1.104822896208565E-4      8.650590306828554E-11
1.1091009483615932E-4     8.609777404417385E-11
1.1133790005146212E-4     8.568915750230522E-11
1.1176570526676494E-4     8.528009552415938E-11
1.1219351048206774E-4     8.487062992927945E-11
1.1262131569737054E-4     8.446076071766537E-11
1.1304912091267334E-4     8.40504878893172E-11
1.1347692612797616E-4     8.363981144423495E-11
1.1390473134327895E-4     8.322873138241855E-11
1.1433253655858176E-4     8.281724770386807E-11
1.1476034177388458E-4     8.240540263633894E-11
1.1518814698918738E-4     8.199323810054626E-11
1.1561595220449018E-4     8.158075409648997E-11
1.16043757419793E-4       8.116795062417015E-11
1.1647156263509581E-4     8.07548276835868E-11
1.1689936785039863E-4     8.034138527473983E-11
1.1732717306570143E-4     7.992762339762932E-11
1.1775497828100424E-4     7.951358441684622E-11
1.1818278349630703E-4     7.90993102746905E-11
1.1861058871160983E-4     7.868480097116211E-11
1.1903839392691265E-4     7.827005650626107E-11
1.1946619914221545E-4     7.785507687998741E-11
1.1989400435751825E-4     7.743986209234108E-11
1.2032180957282107E-4     7.702441214332212E-11
1.2074961478812388E-4     7.660876946358103E-11
1.2117742000342669E-4     7.619297594385598E-11
1.2160522521872949E-4     7.577703158414696E-11
1.2203303043403229E-4     7.536093638445396E-11
1.2246083564933512E-4     7.494469034477703E-11
1.2288864086463792E-4     7.45282934651161E-11
1.2331644607994072E-4     7.411174574547123E-11
1.2374425129524352E-4     7.369508961064228E-11
1.2417205651054633E-4     7.327836683955713E-11
1.2459986172584913E-4     7.286157743221576E-11
1.2502766694115193E-4     7.24447213886182E-11
1.2545547215645473E-4     7.202779870876448E-11
1.2588327737175756E-4     7.161080939265451E-11
1.2631108258706036E-4     7.119375344028837E-11
1.267388878023632E-4      7.077667320663362E-11
1.2716669301766597E-4     7.035961029733044E-11
1.2759449823296877E-4     6.99425647123788E-11
1.280223034482716E-4      6.952553645177871E-11
1.284501086635744E-4      6.91085255155302E-11
1.288779138788772E-4      6.86915319036332E-11
1.2930571909418E-4        6.827455561608778E-11
1.297335243094828E-4      6.785763887390191E-11
1.301613295247856E-4      6.744082305188647E-11
1.305891347400884E-4      6.702410815004142E-11
1.310169399553912E-4      6.66074941683668E-11
1.3144474517069401E-4     6.619098110686262E-11
1.3187255038599684E-4     6.577456896552882E-11
1.3230035560129964E-4     6.535825774436544E-11
1.3272816081660245E-4     6.494208946745307E-11
1.3315596603190525E-4     6.452610523354152E-11
1.3358377124720805E-4     6.411030504263083E-11
1.3401157646251088E-4     6.369468889472099E-11
1.3443938167781368E-4     6.327925678981199E-11
1.3486718689311648E-4     6.286400872790381E-11
1.3529499210841929E-4     6.24489447089965E-11
1.357227973237221E-4      6.203410653153039E-11
