% Model:              ModelMicPlate_Rh20um_hg5um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 21 2025, 13:45
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(w2)
6.80851063829787E-5       2.429168293108877E-11
6.851063829787231E-5      2.4252670104699362E-11
6.893617021276593E-5      2.421344649048227E-11
6.936170212765955E-5      2.4174012088437513E-11
6.978723404255316E-5      2.4134366898565083E-11
7.021276595744679E-5      2.4094510920864966E-11
7.06382978723404E-5       2.405444415533718E-11
7.106382978723402E-5      2.4014168686432234E-11
7.148936170212763E-5      2.3973687340329922E-11
7.191489361702124E-5      2.3933000117030245E-11
7.234042553191486E-5      2.38921070165332E-11
7.276595744680848E-5      2.38510080388388E-11
7.31914893617021E-5       2.3809703183947022E-11
7.361702127659572E-5      2.3768192451857884E-11
7.404255319148934E-5      2.3726478061805654E-11
7.446808510638294E-5      2.3684562968203255E-11
7.489361702127655E-5      2.3642447171050684E-11
7.531914893617019E-5      2.360013067034795E-11
7.574468085106379E-5      2.3557613466095055E-11
7.617021276595741E-5      2.3514895558291983E-11
7.659574468085102E-5      2.3471976946938746E-11
7.702127659574463E-5      2.342885998440504E-11
7.744680851063826E-5      2.3385547750108296E-11
7.787234042553187E-5      2.3342040244048507E-11
7.82978723404255E-5       2.3298337466225685E-11
7.87234042553191E-5       2.3254439416639828E-11
7.914893617021272E-5      2.321034609529092E-11
7.957446808510634E-5      2.3166057502178982E-11
7.999999999999997E-5      2.3121576120820277E-11
8.042553191489356E-5      2.307690515216627E-11
8.085106382978717E-5      2.3032044596216965E-11
8.12765957446808E-5       2.2986994452972365E-11
8.170212765957441E-5      2.2941754722432475E-11
8.212765957446802E-5      2.2896325404597274E-11
8.255319148936163E-5      2.2850706499466786E-11
8.297872340425526E-5      2.280490061939703E-11
8.340425531914888E-5      2.2758911083175446E-11
8.38297872340425E-5       2.271273789080202E-11
8.425531914893612E-5      2.266638104227676E-11
8.468085106382974E-5      2.2619840537599673E-11
8.510638297872335E-5      2.2573116376770744E-11
8.553191489361698E-5      2.2526208559789982E-11
8.59574468085106E-5       2.2479119825250304E-11
8.638297872340422E-5      2.2431853605861923E-11
8.680851063829783E-5      2.2384409901624826E-11
8.723404255319144E-5      2.233678871253902E-11
8.765957446808508E-5      2.2288990038604513E-11
8.808510638297869E-5      2.224101387982129E-11
8.85106382978723E-5       2.2192860236189358E-11
8.893617021276592E-5      2.2144531969657005E-11
8.936170212765952E-5      2.2096032622743516E-11
8.978723404255313E-5      2.2047362195448888E-11
9.021276595744674E-5      2.199852068777312E-11
9.063829787234035E-5      2.1949508099716222E-11
9.106382978723398E-5      2.1900324431278177E-11
