% Model:              PLacek_MembTVNJ_ArticleDims_Rh20um_hg5um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 22 2025, 10:43
% Dimension:          1
% Nodes:              555
% Expressions:        2
% Description:        Global
% f (Hz)                  ,                        , 
664206.8308553251         8.741430469956985E-12    1.0281249205487667E-12
669324.421034997          8.347562532494479E-12    8.572972595106468E-13
674481.4412958266         7.990745454101249E-12    7.334859698639865E-13
679678.1954392634         7.667298017489752E-12    6.424322977728136E-13
684914.989607485          7.37373475392738E-12     5.735574267251889E-13
690192.1323014419         7.105552852462834E-12    5.174331378142742E-13
695509.9343990267         6.854360029286047E-12    4.679975058953277E-13
700868.7091733846         6.613397442898363E-12    4.27249223057104E-13
706268.7723113777         6.383276305302674E-12    3.9737471085303427E-13
711710.4419321707         6.165108910706749E-12    3.762989531544421E-13
717194.038605982          5.957926239469634E-12    3.614968396034363E-13
722719.8853729639         5.76005715301376E-12     3.513970735735588E-13
728288.3077622285         5.569861250438196E-12    3.4514494008654445E-13
733899.6338110352         5.385861577868542E-12    3.423083801329225E-13
739554.1940841035         5.206712278842439E-12    3.4272852505256853E-13
745252.3216930988         5.031138486811247E-12    3.464601729253476E-13
750994.3523162436         4.857875458084046E-12    3.537622982850948E-13
756780.6242181035         4.685607544576636E-12    3.6512406634929355E-13
762611.4782695097         4.5129022514748695E-12   3.813271738392594E-13
768487.2579676354         4.338133697601228E-12    4.0355734164726536E-13
774408.3094562413         4.159390187640002E-12    4.3359298660767536E-13
780374.9815460556         3.974363654386743E-12    4.741249285090807E-13
786387.625735333          3.780230782178851E-12    5.293103031289075E-13
792446.596230557          3.573576777867971E-12    6.057629928484682E-13
798552.2499673011         3.3505472999076265E-12   7.143870224189283E-13
800000.0000000003         3.29512428724853E-12     7.465114591735003E-13
803692.632222716          3.1490636607341524E-12   8.430817612947961E-13
807402.308861347          2.99582085644538E-12     9.66989967724913E-13
811129.1085893443         2.83715913394112E-12     1.1283750025245027E-12
814873.1104432939         2.678453141002495E-12    1.3416115330814549E-12
818634.3938246032         2.5327879993713906E-12   1.6263912874532324E-12
822413.0385011783         2.4290316649375308E-12   2.006894006880599E-12
826209.1246091188         2.4256142770954677E-12   2.503189014560407E-12
830022.7326544104         2.6245341224573517E-12   3.1006979061678007E-12
833853.9435146432         3.149679209893209E-12    3.683959621648428E-12
837702.8384407192         4.016556786105415E-12    3.993819479315596E-12
841569.4990585791         4.9683115325266815E-12   3.7988852954032365E-12
845454.0073709271         5.639018605779978E-12    3.189064172969319E-12
849356.4457589797         5.9107976055738496E-12   2.4722888476709925E-12
853276.8969842058         5.899183141373519E-12    1.8573527945345596E-12
857215.444190086          5.74795009710511E-12     1.3948097524242738E-12
861172.1709038683         5.546577764194328E-12    1.062930831737586E-12
865147.1610383504         5.337898007912326E-12    8.267153131370918E-13
869140.4988936519         5.139317933605511E-12    6.570521951419236E-13
873152.2691590061         4.956487728094438E-12    5.332433301426417E-13
877182.5569145484         4.7900921153879E-12      4.4127228848073965E-13
881231.447633132          4.638919125681697E-12    3.717386219825691E-13
885299.0271821326         4.5011803744578415E-12   3.182958992216766E-13
889385.381825274          4.37505114591291E-12     2.7660134786447777E-13
893490.5982244493         4.258870615195732E-12    2.4363510194019596E-13
897614.7634415707         4.151197583531505E-12    2.172620383628182E-13
901757.9649404079         4.050807651397741E-12    1.959480341587309E-13
905920.2905884465         3.956669257962749E-12    1.7857401267634437E-13
910101.8286587452         3.867914509564201E-12    1.6431230504104734E-13
914302.6678318174         3.783811187770264E-12    1.5254318822878964E-13
918522.8971975057         3.703738142389168E-12    1.4279769786278529E-13
922762.6062568747         3.627164489651101E-12    1.3471789094241965E-13
927021.8849241013         3.553632326044374E-12    1.2802888428655526E-13
931300.823528393          3.4827424329128347E-12   1.2251897169283508E-13
935599.5128158963         3.4141424122312196E-12   1.1802538106812438E-13
939918.0439516247         3.3475167355767097E-12   1.1442404649534722E-13
944256.5085213842         3.2825782506028512E-12   1.1162230644577277E-13
948614.9985337281         3.219060748109802E-12    1.095538013567395E-13
952993.6064218994         3.1567122378824263E-12   1.0817509672024933E-13
957392.4250457959         3.095288608464188E-12    1.0746374427566679E-13
961811.5476939309         3.0345473521981302E-12   1.0741764357669305E-13
966251.0680854243         2.974241019052875E-12    1.0805570234351038E-13
970711.0803719814         2.9141100157098703E-12   1.0941993838472305E-13
975191.6791398943         2.853874281535893E-12    1.1157934376692662E-13
979692.9594120395         2.7932232365680247E-12   1.1463607864256224E-13
984215.0166499054         2.731803186796465E-12    1.187349334621496E-13
988757.946755608          2.6692010558634825E-12   1.2407758894611382E-13
993321.8460739299         2.6049228408833297E-12   1.3094418212527385E-13
997906.811394355          2.538364495146276E-12    1.397263669950761E-13
1000000                   2.5071278079624438E-12   1.4449886738114215E-13
1002305.2380779005        2.471980876085903E-12    1.5040959311894897E-13
1004615.7902783946        2.435851928507517E-12    1.5712179040121605E-13
1006931.6688518045        2.398598411032251E-12    1.6476481631539034E-13
1009252.8860766834        2.3600575728185136E-12   1.7349676014635348E-13
1011579.4542598983        2.320042961216253E-12    1.8351226107726748E-13
1013911.3857366799        2.2783403689860908E-12   1.950528975691672E-13
1016248.6928706949        2.2347032443334283E-12   2.084211389919469E-13
1018591.388054117         2.1888476828538135E-12   2.239992870421802E-13
1020939.4837076807        2.1404473440849844E-12   2.422754863342078E-13
1023292.9922807537        2.0891290802370516E-12   2.6387986375498087E-13
1025651.926251408         2.034470937428171E-12    2.8963533770756786E-13
1028016.2981264725        1.9760058957376355E-12   3.2062987755088364E-13
1030386.1204416159        1.9132380597382347E-12   3.5832034480356736E-13
1032761.405761398         1.8456846180214137E-12   4.0468291749271765E-13
1035142.1666793431        1.7729700509694043E-12   4.624316644951339E-13
1037528.4158180127        1.695025463204681E-12    5.35333977132247E-13
1039920.16582906          1.6124988598262877E-12   6.286533253382707E-13
1042317.4293933036        1.52758652066652E-12     7.497244492261274E-13
1044720.2192208003        1.445689176510973E-12    9.085442358710324E-13
1047128.5480508985        1.3785945646978273E-12   1.1178428801947058E-12
1049542.4286523222        1.3500586674428287E-12   1.3908932815155256E-12
1051961.8738232234        1.4033323588305636E-12   1.7325826479638206E-12
1054386.896391258         1.6028989614169798E-12   2.1163576203083696E-12
1056817.5092136585        2.005281160756007E-12    2.4500504749012544E-12
1059253.7251772897        2.5781644571952137E-12   2.583174694119367E-12
1061695.5571987242        3.1543267081883526E-12   2.426029653944798E-12
1064143.0182243164        3.556301561403868E-12    2.0580704502305465E-12
1066596.1212302567        3.7409783673970824E-12   1.6383073522419222E-12
1069054.8792226578        3.768394055670775E-12    1.2698860394346162E-12
1071519.305237607         3.711177025071073E-12    9.818229164913743E-13
1073989.412341244         3.6177753317426542E-12   7.666350841436052E-13
1076465.213629835         3.5138487028262533E-12   6.077097760517323E-13
1078946.7222298298        3.411326408879433E-12    4.897801506376958E-13
1081433.9512979374        3.3150871404778075E-12   4.0122873476268005E-13
1083926.914021204         3.2266618425552454E-12   3.337649351736394E-13
1086425.6236170644        3.1460859378647128E-12   2.815882516856982E-13
1088930.0933334331        3.072784333546507E-12    2.406429726226316E-13
1091440.3364487572        3.0059816440338147E-12   2.0807019660133383E-13
1093956.366272093         2.944885082355109E-12    1.8183017405937737E-13
1096478.196143185         2.888759951047817E-12    1.6044761401979975E-13
1099005.839432522         2.8369552111233793E-12   1.4284046264255748E-13
1101539.3095414145        2.7889065893644996E-12   1.2820414698800552E-13
1104078.6199020736        2.744130287557204E-12    1.1593253546406213E-13
1106623.7839776652        2.7022134298820374E-12   1.0556331949276495E-13
1109174.8152624008        2.6628040422958456E-12   9.673978518933632E-14
1111731.7272815919        2.6256017488667697E-12   8.918370677064869E-14
1114294.5335917291        2.5903496050932305E-12   8.267587551012638E-14
1116863.2477805612        2.556827135062741E-12    7.704193068334374E-14
1119437.8834671525        2.5248444849350847E-12   7.214190897181987E-14
1122018.4543019629        2.494237542458718E-12    6.786242094877641E-14
1124604.9739669268        2.4648638442830574E-12   6.411069234371643E-14
1127197.4561755094        2.436599068647225E-12    6.080994403603546E-14
1129795.9146727975        2.409333883953634E-12    5.789579523977232E-14
1132400.3632355577        2.3829709428696224E-12   5.531362649192479E-14
1135010.8156723143        2.3574220320405367E-12   5.301712294260049E-14
1137627.2858234309        2.3326059627953263E-12   5.0968226957899295E-14
1140249.7875611696        2.3084482810992027E-12   4.9137876228415215E-14
1142878.3347897714        2.284882933884059E-12    4.7505579752455516E-14
