% Model:              ModelMicPlate_Rh100um_hg10um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 21 2025, 14:31
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(p)
1.1108742004264393E-4     -0.02417388878535423
1.115138592750533E-4      -0.024524627071273376
1.1194029850746269E-4     -0.02487188813231561
1.1236673773987208E-4     -0.02521719518606175
1.1279317697228145E-4     -0.025559621574420516
1.1321961620469083E-4     -0.025899167297391903
1.1364605543710021E-4     -0.026235832354975914
1.1407249466950959E-4     -0.02656961674717255
1.1449893390191897E-4     -0.026900520473981806
1.1492537313432836E-4     -0.027228543535403688
1.1535181236673775E-4     -0.027554384963583728
1.1577825159914712E-4     -0.027877706248908486
1.162046908315565E-4      -0.028198507391377973
1.1663113006396588E-4     -0.028516788390992177
1.1705756929637526E-4     -0.028832549247751124
1.1748400852878464E-4     -0.029145789961654775
1.1791044776119402E-4     -0.029456510532703158
1.1833688699360342E-4     -0.029764684830833683
1.187633262260128E-4      -0.030070280097709016
1.1918976545842218E-4     -0.030373296333329143
1.1961620469083157E-4     -0.03067373353769408
1.2004264392324095E-4     -0.030971591710803825
1.2046908315565034E-4     -0.03126687085265836
1.2089552238805972E-4     -0.03155957096325771
1.2132196162046911E-4     -0.031850451616384175
1.2174840085287848E-4     -0.03213867113754548
1.2217484008528786E-4     -0.032424229526741656
1.2260127931769724E-4     -0.03270712678397267
1.2302771855010662E-4     -0.03298736290923854
1.23454157782516E-4       -0.03326493790253926
1.2388059701492538E-4     -0.03353985176387483
1.2430703624733477E-4     -0.033812558689485614
1.2473347547974415E-4     -0.03408271312618155
1.2515991471215353E-4     -0.034350315073962606
1.255863539445629E-4      -0.034615364532828805
1.260127931769723E-4      -0.03487786150278015
1.2643923240938167E-4     -0.035137805983816606
1.2686567164179105E-4     -0.03539519797593821
1.2729211087420043E-4     -0.035649602004101354
1.2771855010660981E-4     -0.035901479789664056
1.281449893390192E-4      -0.03615083133262632
1.2857142857142858E-4     -0.036397656632988155
1.2899786780383796E-4     -0.03664195569074956
1.2942430703624734E-4     -0.03688372850591052
1.2985074626865672E-4     -0.037122975078471045
1.302771855010661E-4      -0.03735945914453188
1.3070362473347548E-4     -0.037593284790038164
1.3113006396588486E-4     -0.037824452014989886
1.3155650319829424E-4     -0.038052960819387055
1.3198294243070362E-4     -0.03827881120322968
1.32409381663113E-4       -0.03850200316651774
1.3283582089552239E-4     -0.03872253670925125
1.3326226012793177E-4     -0.03894062469049117
1.3368869936034115E-4     -0.039156067331759616
1.3411513859275053E-4     -0.0393688646330566
