% Model:              ModelMicPlate_Rh20um_hg5um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 26 2025, 17:26
% Dimension:          1
% Nodes:              593
% Expressions:        2
% Description:        Global
% freq (Hz)               Re xi all, Im xi all     Re xi all, Im xi all
666760.7160816619         -3.3148907732890996E-12  5.787618712193938E-12
670609.9677026861         -3.5244999850666586E-12  6.5665809546685656E-12
674481.4412958266         -3.642100856210131E-12   7.469413598101954E-12
678375.2651499312         -3.6291444152841875E-12  8.48577722585095E-12
682291.5682944618         -3.4629841333061856E-12  9.591275258142207E-12
686230.4805037811         -3.155589216844156E-12   1.0783781350493658E-11
690192.1323014419         -2.699907624003493E-12   1.2161718401760922E-11
694176.6549645227         -1.863636353996663E-12   1.3889587480445988E-11
698184.180527968          -1.0829893647937769E-13  1.579902828426755E-11
702214.8417889737         2.82260594813181E-12     1.706330793420054E-11
706268.7723113777         6.259809683313095E-12    1.6857201372386724E-11
710346.1064300907         9.140485509615869E-12    1.524921907075783E-11
714446.9792555517         1.0938270529321603E-11   1.2966005957253519E-11
718571.5266781948         1.1747694530726645E-11   1.0664022618736367E-11
722719.8853729639         1.1889523645493643E-11   8.661985774909092E-12
726892.1928038303         1.1651295993604084E-11   7.03489267469184E-12
731088.5872283591         1.1224248411825033E-11   5.749763684573396E-12
735309.2077022808         1.0719881482208926E-11   4.743413328008713E-12
739554.1940841035         1.0198513593169198E-11   3.954103703468397E-12
743823.6870397514         9.690787306032256E-12    3.3308741283875993E-12
748117.8280472163         9.210965197352104E-12    2.8343051020967335E-12
752436.7594012571         8.764542995614509E-12    2.4346904796884862E-12
756780.6242181035         8.352465483101415E-12    2.1098293882859663E-12
761149.5664402101         7.973423056400423E-12    1.8431198813262622E-12
765543.7308410143         7.625088091647484E-12    1.622081682802185E-12
769963.2630297459         7.304770517489051E-12    1.4372611632283983E-12
774408.3094562413         7.0097560614268216E-12   1.28143429677624E-12
778879.0174158008         6.737471777426897E-12    1.1490297858901721E-12
783375.535054075          6.4855582028109276E-12   1.0357110606066577E-12
787898.0113719617         6.251891818076674E-12    9.380719385343217E-13
792446.596230557          6.034581972260791E-12    8.534135372826626E-13
797021.4403561081         5.831955552663248E-12    7.795794778264086E-13
801622.6953450207         5.642536509092378E-12    7.148330805646386E-13
806250.5136688699         5.465024208124552E-12    6.577651179844481E-13
810905.0486794648         5.298272470099747E-12    6.072238924770883E-13
815586.4546139197         5.1412703171957175E-12   5.622618292797324E-13
820294.8865997692         4.99312465733506E-12     5.220943176622503E-13
825030.5006601142         4.8530450704593E-12      4.860677774342417E-13
829793.4537187797         4.720330498472017E-12    4.53634674205751E-13
834583.903605529          4.594357720493441E-12    4.243338457494517E-13
839402.0090612794         4.474571384531052E-12    3.97774897280114E-13
844247.9297433766         4.360475415956601E-12    3.736257480322945E-13
849121.8262308729         4.251625590582044E-12    3.5160262504049993E-13
854023.8600298538         4.147623157320129E-12    3.3146198496835166E-13
858954.1935787946         4.048109305306038E-12    3.129939453082007E-13
863912.9902539313         3.952760403882944E-12    2.9601692311838507E-13
868900.414374688          3.861283862769002E-12    2.8037322984745503E-13
873916.6312091086         3.7734145573608876E-12   2.6592543970561566E-13
878961.8069793464         3.688911711325255E-12    2.5255337791938014E-13
884036.1088671589         3.6075561842051052E-12   2.401516135820381E-13
889139.7050194612         3.5291481070097836E-12   2.2862736357917166E-13
894272.7645538864         3.4535048020068336E-12   2.1789873117841087E-13
899435.4575643935         3.380458982424444E-12    2.0789322512873011E-13
904627.9551269109         3.3098571439507104E-12   1.9854650283055513E-13
909850.4293049912         3.241558168262608E-12    1.8980130606837754E-13
915103.0531555283         3.1754320763210687E-12   1.8160655259304254E-13
920386.0007344771         3.1113589386266434E-12   1.7391656107497461E-13
925699.447102636          3.049227900401276E-12    1.6669038587939696E-13
931043.5683314326         2.9889363173899786E-12   1.598912446520683E-13
936418.541508774          2.9303889898100673E-12   1.534860253025961E-13
941824.5447449009         2.8734974751824046E-12   1.474448592007107E-13
947261.7571782955         2.818179479625371E-12    1.417407513771443E-13
952730.358981624          2.7643583065819783E-12   1.363492585350426E-13
958230.5313676925         2.7119623660988668E-12   1.312482087636484E-13
963762.4565954682         2.6609247334326494E-12   1.2641745666478574E-13
969326.3179761027         2.611182751122655E-12    1.2183866899445154E-13
974922.2998790226         2.562677668576181E-12    1.1749513654420982E-13
980550.5877380247         2.5153543231416817E-12   1.1337160915456862E-13
986211.3680574265         2.4691608349892415E-12   1.0945414934795977E-13
991904.8284182535         2.4240483538646175E-12   1.057300052706027E-13
997631.1574844392         2.3799708074987215E-12   1.0218749660859711E-13
1003390.5450090949        2.3368846845470883E-12   9.881591493090683E-14
1009183.1818407797        2.2947488336504555E-12   9.56054355233648E-14
1015009.2599298421        2.253524278815931E-12    9.254703915242831E-14
1020868.9723347636        2.2131740502192863E-12   8.963244364348146E-14
1026762.5132285729        2.173663032525794E-12    8.685404368768364E-14
1032690.0779052655        2.134957819498619E-12    8.420485820276991E-14
1038651.8627862814        2.097026589357452E-12    8.16784856786606E-14
1044648.0654270203        2.059838979383333E-12    7.926906583273627E-14
1050678.8845233733        2.02336598178756E-12     7.697124970776091E-14
1056744.5199183237        1.987579841621453E-12    7.478017691009626E-14
1062845.1726085525        1.9524539725361695E-12   7.269146310700268E-14
1068981.044751116         1.917962879833574E-12    7.070119880267351E-14
1075152.339670127         1.8840821056643266E-12   6.880596412700238E-14
1081359.26186351          1.8507882053021415E-12   6.70028656713978E-14
1087602.017009762         1.8180587716829677E-12   6.528960401903759E-14
1093880.8119747757        1.7858725703206758E-12   6.366458264962398E-14
1100195.8548186996        1.7542098859711143E-12   6.212705715708533E-14
1106547.354802818         1.7230533460776708E-12   6.067725672166498E-14
1112935.5223965026        1.6923897950273372E-12   5.931609628333593E-14
1119360.5692841688        1.6622142524480987E-12   5.804278204073529E-14
1125822.7083723089        1.6325356041465453E-12   5.684386818717102E-14
1132322.1537965308        1.603365698960766E-12    5.56598176654537E-14
1138859.1209286607        1.5746229486394907E-12   5.437314208830573E-14
1145433.8263838873        1.5460853516174982E-12   5.302134042930153E-14
1152046.488027922         1.517736118192999E-12    5.1824888157061604E-14
1158697.3249842396        1.4897104022528912E-12   5.0821115678276464E-14
1165386.5576413178        1.4620456694278999E-12   4.9947974135036493E-14
1172114.4076599611        1.4347220792580887E-12   4.9166992604834315E-14
1178881.097980626         1.4077115221100064E-12   4.846351535354699E-14
1185686.8528308275        1.380988385860957E-12    4.783342239176655E-14
1192531.8977325535        1.3545300026491435E-12   4.727690730687308E-14
1199416.4595097448        1.3283158537235297E-12   4.6796172268044095E-14
1206340.7662958174        1.3023271216403968E-12   4.639460870487816E-14
1213305.047541207         1.2765467498155963E-12   4.6076463703704825E-14
1220309.5340209906        1.2509600877301719E-12   4.5846517964017994E-14
1227354.4578425142        1.225556319500613E-12    4.5709306092743607E-14
1234440.0524531044        1.200331011253961E-12    4.5666929408028193E-14
1241566.5526477837        1.1752898639692083E-12   4.571310612495912E-14
1248734.1945770716        1.1504512649957226E-12   4.5817864902080065E-14
1255943.215754791         1.1258331553440042E-12   4.589362493530269E-14
1263193.8550659476        1.1013738243695175E-12   4.575472424289927E-14
1270486.3527746531        1.0767462148258033E-12   4.522131464476216E-14
1277820.9505320683        1.0514427016018E-12      4.455586509694561E-14
1285197.891384432         1.0254957738222978E-12   4.4401398127196746E-14
1292617.4197810942        9.994044003537012E-13    4.4931398848128806E-14
1300079.7815826358        9.734269840506951E-13    4.590895980758036E-14
1307585.2240689998        9.475753355402555E-13    4.710175821815897E-14
1315133.9959476907        9.217840715510996E-13    4.830974675334425E-14
1322726.3473620256        8.958710475837654E-13    4.928787871574841E-14
1330362.5298994042        8.693722189712966E-13    4.987660482294518E-14
1338042.7965996664        8.417118753067252E-13    5.0385508983438807E-14
1345767.4019634568        8.128059960965296E-13    5.144259418309002E-14
1353536.6019606786        7.829696332798476E-13    5.332006131841481E-14
1361350.6540389548        7.523648765361287E-13    5.593516351009882E-14
1369209.8171321806        7.209128951467976E-13    5.917925151199122E-14
1377114.3516690843        6.884191130033356E-13    6.303005976733142E-14
1385064.5195818662        6.546425558883384E-13    6.754119401273636E-14
1393060.584314886         6.193099942581235E-13    7.282207281478704E-14
1401102.8108333724        5.821089209057546E-13    7.903126684053081E-14
1409191.4656322272        5.426733429062231E-13    8.638150637328971E-14
1417326.8167448323        5.005655100539695E-13    9.515406079452537E-14
1425509.1337519547        4.552530281914597E-13    1.0572297684665574E-13
1433738.6877906565        4.0607954521230054E-13   1.1859247530845953E-13
1442015.7515633027        3.522264806446792E-13    1.3445417266924147E-13
1450340.599346578         2.926627459187632E-13    1.542759403550493E-13
1458713.5070005828        2.2607932277948764E-13   1.7944314403428165E-13
1467134.751977985         1.508072752769874E-13    2.1198940057591273E-13
1475604.6133331917        6.472534424627216E-14    2.549851521285778E-13
1484123.3717316212        -3.481124507820795E-14   3.1321312991546174E-13
1492691.3094589785        -1.5090922104791654E-13  3.9437960040686926E-13
1501308.7104306335        -2.8658364427955327E-13  5.113405307433078E-13
1509975.8602010093        -4.4257726959886165E-13  6.862026676206588E-13
