% Model:              PLacek_MembTVNJ_ArticleDims_Rh20um_hg5um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 22 2025, 10:55
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(p)
1.1689936785039863E-4     -0.42718810848892547
1.1732717306570143E-4     -0.4269300792392765
1.1775497828100424E-4     -0.42666577453201443
1.1818278349630703E-4     -0.4263958546406243
1.1861058871160983E-4     -0.42612030131678735
1.1903839392691265E-4     -0.4258390963121853
1.1946619914221545E-4     -0.4255522213785317
1.1989400435751825E-4     -0.42525965826749496
1.2032180957282107E-4     -0.4249613887307511
1.2074961478812388E-4     -0.42465753637917353
1.2117742000342669E-4     -0.42434837909762596
1.2160522521872949E-4     -0.42403389000251257
1.2203303043403229E-4     -0.4237140422101676
1.2246083564933512E-4     -0.42338880883699437
1.2288864086463792E-4     -0.42305816299936355
1.2331644607994072E-4     -0.4227220778136174
1.2374425129524352E-4     -0.42238071798176324
1.2417205651054633E-4     -0.42203433939990986
1.2459986172584913E-4     -0.42168290330506875
1.2502766694115193E-4     -0.4213263709342777
1.2545547215645473E-4     -0.4209647035245116
1.2588327737175756E-4     -0.42059786231282326
1.2631108258706036E-4     -0.4202258085361753
1.267388878023632E-4      -0.4198489633991118
1.2716669301766597E-4     -0.41946722700793554
1.2759449823296877E-4     -0.419080611949579
1.280223034482716E-4      -0.41868913081101
1.284501086635744E-4      -0.41829279617913834
1.288779138788772E-4      -0.41789162064099744
1.2930571909418E-4        -0.4174856167834482
1.297335243094828E-4      -0.41707464679425327
1.301613295247856E-4      -0.4166592268695108
1.305891347400884E-4      -0.41623930078243804
1.310169399553912E-4      -0.4158148123062796
1.3144474517069401E-4     -0.4153857052142197
1.3187255038599684E-4     -0.41495192327949626
1.3230035560129964E-4     -0.4145134102753093
1.3272816081660245E-4     -0.41407257575610296
1.3315596603190525E-4     -0.41362681910295573
1.3358377124720805E-4     -0.4131763911112082
1.3401157646251088E-4     -0.4127215512995124
1.3443938167781368E-4     -0.4122625682924372
1.3486718689311648E-4     -0.4117997202233789
1.3529499210841929E-4     -0.411333295159048
1.357227973237221E-4      -0.41085761499931156
1.361506025390249E-4      -0.4103793924074101
1.365784077543277E-4      -0.4098981262099031
1.370062129696305E-4      -0.40941333251519646
1.374340181849333E-4      -0.40892454397496225
1.378618234002361E-4      -0.40843130908319003
1.382896286155389E-4      -0.40793319151055774
1.387174338308417E-4      -0.4074365848468302
1.391452390461445E-4      -0.4069349695417286
1.395730442614473E-4      -0.4064288133102096
1.4000084947675013E-4     -0.4059186001355416
1.4042865469205294E-4     -0.40540483098285557
1.4085645990735574E-4     -0.4048880245506193
1.4128426512265854E-4     -0.4043687180621447
1.4171207033796137E-4     -0.40384030714766106
1.4213987555326417E-4     -0.4033095127509985
1.4256768076856697E-4     -0.40277602365098686
1.4299548598386977E-4     -0.40223953935819945
1.4342329119917258E-4     -0.40169976965635246
1.4385109641447538E-4     -0.40115643416696123
1.442789016297782E-4      -0.4006092619361132
1.44706706845081E-4       -0.4000604699941473
1.451345120603838E-4      -0.39950836639448817
1.4556231727568659E-4     -0.39895299055044464
1.4599012249098941E-4     -0.39839438122388543
1.4641792770629222E-4     -0.39783257653859383
1.46845732921595E-4       -0.3972676139934358
1.4727353813689782E-4     -0.3966995304749564
1.4770134335220065E-4     -0.396128888586831
1.4812914856750345E-4     -0.3955552151189036
1.4855695378280625E-4     -0.3949785562348207
1.4898475899810905E-4     -0.3943989578484113
1.4941256421341186E-4     -0.39381646562529266
1.4984036942871466E-4     -0.3932311249845659
1.502681746440175E-4      -0.3926429811005203
1.5069597985932032E-4     -0.39205217210313015
1.511237850746231E-4      -0.3914587059913987
1.515515902899259E-4      -0.39086261921402693
1.5197939550522872E-4     -0.3902639481218465
1.5240720072053152E-4     -0.38966272896790227
1.5283500593583433E-4     -0.38905899790802134
1.5326281115113713E-4     -0.38845279100095725
1.5369061636643996E-4     -0.38784367244411133
1.5411842158174273E-4     -0.38723237297854585
1.5454622679704553E-4     -0.386618861926992
1.5497403201234834E-4     -0.38600310885722633
1.5540183722765116E-4     -0.38538508357941853
1.5582964244295397E-4     -0.3847647561438943
1.5625744765825677E-4     -0.38414209683860223
1.566852528735596E-4      -0.38351810145042214
1.571130580888624E-4      -0.3828919363309228
1.5754086330416517E-4     -0.3822636758436026
1.57968668519468E-4       -0.38163339435206417
1.583964737347708E-4      -0.3810011662198642
1.588242789500736E-4      -0.3803670658105847
1.592520841653764E-4      -0.3797311674877276
1.596798893806792E-4      -0.3790932787067583
1.60107694595982E-4       -0.37845366657679663
1.6053549981128481E-4     -0.3778123583360538
1.6096330502658764E-4     -0.3771693812227641
1.6139111024189047E-4     -0.37652476247509514
1.6181891545719325E-4     -0.3758785293313244
1.6224672067249608E-4     -0.3752307090295909
1.6267452588779888E-4     -0.3745814401254382
1.6310233110310168E-4     -0.3739307247147346
1.6353013631840448E-4     -0.3732786044760403
1.6395794153370728E-4     -0.3726251210879566
