% Model:              PLacek_MembTVNJ_ArticleDims_Rh100um_hg10um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:39
% Dimension:          1
% Nodes:              1801
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(xi)
2.6350373169802883E-5     2.288588545382045E-11
2.6520442046597647E-5     2.2876932101899865E-11
2.669051092339241E-5      2.2867922994626897E-11
2.686057980018717E-5      2.285885824178135E-11
2.703064867698193E-5      2.2849737843363235E-11
2.7200717553776692E-5     2.284056179937254E-11
2.7370786430571456E-5     2.283133010980928E-11
2.7540855307366216E-5     2.2822042774673437E-11
2.771092418416098E-5      2.2812699899599277E-11
2.7880993060955744E-5     2.280330159833972E-11
2.8051061937750504E-5     2.279384787089475E-11
2.8221130814545265E-5     2.2784338717264382E-11
2.839119969134003E-5      2.2774774137448608E-11
2.8561268568134793E-5     2.2765154131447433E-11
2.8731337444929556E-5     2.2755478808832597E-11
2.890140632172432E-5      2.2745748287319767E-11
2.907147519851908E-5      2.2735962566908943E-11
2.9241544075313845E-5     2.2726121647600117E-11
2.9411612952108605E-5     2.2716225529393306E-11
2.958168182890337E-5      2.2706274212288495E-11
2.975175070569813E-5      2.2696267809782617E-11
2.9921819582492897E-5     2.268620644354348E-11
3.0091888459287654E-5     2.2676090113571078E-11
3.0261957336082418E-5     2.2665918819865418E-11
3.0432026212877178E-5     2.2655692562426497E-11
3.060209508967194E-5      2.2645411341254313E-11
3.07721639664667E-5       2.2635075273763103E-11
3.0942232843261466E-5     2.262468448555679E-11
3.111230172005623E-5      2.2614238976635377E-11
3.1282370596850994E-5     2.2603738746998856E-11
3.145243947364575E-5      2.2593183796647236E-11
3.1622508350440515E-5     2.2582574125580506E-11
3.179257722723528E-5      2.257190985511398E-11
3.196264610403004E-5      2.2561191114778635E-11
3.21327149808248E-5       2.2550417904574465E-11
3.2302783857619563E-5     2.253959022450147E-11
3.247285273441433E-5      2.252870807455966E-11
3.264292161120909E-5      2.2517771454749026E-11
3.2812990488003855E-5     2.2506780490267598E-11
3.298305936479862E-5      2.2495735314567972E-11
3.315312824159338E-5      2.248463592765014E-11
3.332319711838814E-5      2.2473482329514113E-11
3.3493265995182904E-5     2.246227452015988E-11
3.366333487197767E-5      2.2451012499587454E-11
3.383340374877243E-5      2.24396963968592E-11
3.400347262556719E-5      2.2428326349342752E-11
3.417354150236195E-5      2.2416902357038117E-11
3.434361037915671E-5      2.240542441994529E-11
3.4513679255951466E-5     2.2393892538064278E-11
3.468374813274623E-5      2.2382306711395074E-11
3.4853817009540994E-5     2.2370667072846485E-11
3.502388588633576E-5      2.2358973763694616E-11
3.519395476313052E-5      2.2347226783939462E-11
3.5364023639925286E-5     2.2335426133581022E-11
3.553409251672005E-5      2.23235718126193E-11
3.5704161393514813E-5     2.2311663821054292E-11
3.587423027030958E-5      2.2299702295626133E-11
3.604429914710434E-5      2.2287687381509435E-11
3.6214368023899105E-5     2.2275619078704207E-11
3.638443690069387E-5      2.2263497387210442E-11
3.655450577748863E-5      2.2251322307028145E-11
3.672457465428339E-5      2.2239093838157314E-11
3.6894643531078154E-5     2.2226812121153634E-11
3.706471240787292E-5      2.22144773050808E-11
3.7234781284667675E-5     2.2202089389938827E-11
3.740485016146244E-5      2.2189648375727707E-11
3.7574919038257195E-5     2.2177154262447448E-11
3.774498791505196E-5      2.2164607050098043E-11
3.791505679184672E-5      2.2152006883036982E-11
3.808512566864148E-5      2.2139353914205482E-11
3.8255194545436244E-5     2.2126648143603536E-11
3.842526342223101E-5      2.2113889571231148E-11
3.8595332299025765E-5     2.2101078197088323E-11
