% Model:              ModelMicPlate_Rh100um_hg10um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 21 2025, 14:31
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(w2)
5.420168067226891E-5      1.1212153661960573E-13
5.462184873949579E-5      1.1249398232628524E-13
5.5042016806722686E-5     1.1286929316740725E-13
5.546218487394958E-5      1.1324746914297177E-13
5.5882352941176466E-5     1.1362851025297878E-13
5.6302521008403355E-5     1.1401241860474687E-13
5.6722689075630245E-5     1.1439920467702235E-13
5.714285714285714E-5      1.147888684698051E-13
5.7563025210084025E-5     1.1518140998309523E-13
5.798319327731092E-5      1.1557682921689268E-13
5.840336134453782E-5      1.1597512617119747E-13
5.88235294117647E-5       1.163763008460096E-13
5.92436974789916E-5       1.1678035692602364E-13
5.966386554621848E-5      1.1718730732892618E-13
6.008403361344538E-5      1.1759715205471717E-13
6.050420168067226E-5      1.180098911033966E-13
6.0924369747899156E-5     1.1842552447496455E-13
6.134453781512605E-5      1.1884405216942092E-13
6.176470588235294E-5      1.1926547418676576E-13
6.218487394957983E-5      1.1968979599471736E-13
6.260504201680672E-5      1.201170330659459E-13
6.302521008403361E-5      1.2054718540045126E-13
6.34453781512605E-5       1.2098025299823354E-13
6.386554621848739E-5      1.214162358592927E-13
6.428571428571429E-5      1.2185513398362875E-13
6.470588235294117E-5      1.222969473712417E-13
6.512605042016805E-5      1.2274168347141196E-13
6.554621848739495E-5      1.2318936038025756E-13
6.596638655462185E-5      1.236399780977784E-13
6.638655462184873E-5      1.2409353662397456E-13
6.680672268907563E-5      1.2455003595884603E-13
6.722689075630252E-5      1.2500947610239277E-13
6.76470588235294E-5       1.2547185705461483E-13
6.806722689075629E-5      1.2593718843248242E-13
6.848739495798319E-5      1.2640549095984885E-13
6.890756302521008E-5      1.2687676463671403E-13
6.932773109243696E-5      1.2735100946307806E-13
6.974789915966386E-5      1.2782822543894092E-13
7.016806722689076E-5      1.2830841256430254E-13
7.058823529411764E-5      1.28791570839163E-13
7.100840336134452E-5      1.2927771221532622E-13
7.142857142857142E-5      1.2976685996280443E-13
7.184873949579832E-5      1.3025901408159758E-13
7.22689075630252E-5       1.3075417457170572E-13
7.26890756302521E-5       1.312523414331288E-13
7.310924369747899E-5      1.317535146658669E-13
7.352941176470588E-5      1.3225769426991994E-13
7.394957983193276E-5      1.327648946718833E-13
7.436974789915967E-5      1.332751414917604E-13
7.478991596638655E-5      1.337884347295511E-13
7.521008403361343E-5      1.3430477438525556E-13
7.563025210084034E-5      1.3482416045887368E-13
7.605042016806723E-5      1.353465929504055E-13
7.647058823529412E-5      1.35872071859851E-13
7.689075630252102E-5      1.3640061419101724E-13
7.73109243697479E-5       1.3693224756491254E-13
7.773109243697479E-5      1.3746697198153678E-13
7.815126050420167E-5      1.3800478744089004E-13
7.857142857142857E-5      1.3854569394297233E-13
7.899159663865546E-5      1.390896914877836E-13
7.941176470588235E-5      1.3963678007532384E-13
7.983193277310923E-5      1.4018697933594739E-13
8.025210084033613E-5      1.407403183406335E-13
8.067226890756302E-5      1.412967970893821E-13
8.10924369747899E-5       1.4185641558219334E-13
8.151260504201682E-5      1.4241917381906714E-13
8.19327731092437E-5       1.4298507180000347E-13
8.23529411764706E-5       1.4355410952500237E-13
8.277310924369749E-5      1.441263092333405E-13
8.319327731092437E-5      1.4470170061592172E-13
8.361344537815127E-5      1.4528028367274598E-13
8.403361344537815E-5      1.4586205840381335E-13
8.445378151260505E-5      1.4644702480912385E-13
8.487394957983195E-5      1.470351828886774E-13
8.529411764705883E-5      1.4762653264247404E-13
8.571428571428573E-5      1.4822109882674914E-13
8.613445378151261E-5      1.4881891053597653E-13
8.655462184873949E-5      1.4941996777015614E-13
8.697478991596639E-5      1.50024270529288E-13
8.739495798319329E-5      1.506318188133722E-13
8.781512605042018E-5      1.5124261262240858E-13
8.823529411764706E-5      1.5185665195639727E-13
8.865546218487395E-5      1.5247396387498387E-13
8.907563025210084E-5      1.530945751603442E-13
8.949579831932774E-5      1.537184858124781E-13
8.991596638655461E-5      1.5434569583138573E-13
9.033613445378152E-5      1.5497620521706704E-13
9.075630252100842E-5      1.5561001396952196E-13
9.11764705882353E-5       1.562471220887506E-13
9.15966386554622E-5       1.5688755862220582E-13
9.201680672268908E-5      1.5753134557425193E-13
9.243697478991596E-5      1.581784829448888E-13
9.285714285714286E-5      1.5882897073411662E-13
9.327731092436976E-5      1.594828089419353E-13
9.369747899159665E-5      1.601399975683448E-13
9.411764705882353E-5      1.6080053661334517E-13
9.453781512605042E-5      1.614644568062043E-13
9.495798319327731E-5      1.6213177175082648E-13
9.53781512605042E-5       1.628024814472116E-13
9.57983193277311E-5       1.6347658589535983E-13
9.621848739495799E-5      1.6415408509527108E-13
9.663865546218487E-5      1.6483497904694536E-13
9.705882352941177E-5      1.6551926775038267E-13
9.747899159663867E-5      1.6620698259278644E-13
9.789915966386555E-5      1.6689812499511735E-13
9.831932773109245E-5      1.675926949573752E-13
9.873949579831933E-5      1.6829069247956014E-13
9.915966386554623E-5      1.6899211756167218E-13
9.957983193277312E-5      1.6969697020371123E-13
1.0E-4                    1.7040525040567732E-13
1.004264392324094E-4      1.7112763488897463E-13
1.0085287846481877E-4     1.7185356546640676E-13
1.0127931769722815E-4     1.7258304213797372E-13
1.0170575692963754E-4     1.733160649036755E-13
1.0213219616204692E-4     1.7405263376351214E-13
1.025586353944563E-4      1.7479274871748355E-13
1.0298507462686569E-4     1.7553640976558982E-13
1.0341151385927508E-4     1.762836386171027E-13
1.0383795309168445E-4     1.7703440099681864E-13
1.0426439232409383E-4     1.7778869690473755E-13
1.0469083155650321E-4     1.7854652634085952E-13
1.0511727078891259E-4     1.7930788930518455E-13
1.0554371002132197E-4     1.8007278579771249E-13
1.0597014925373135E-4     1.8084121581844355E-13
1.0639658848614073E-4     1.816131940714823E-13
1.0682302771855012E-4     1.8238865809291004E-13
1.0724946695095948E-4     1.8316760788272674E-13
1.0767590618336888E-4     1.8395004344093246E-13
1.0810234541577824E-4     1.8473596476752723E-13
1.0852878464818763E-4     1.8552537186251088E-13
1.0895522388059701E-4     1.8631826472588362E-13
1.093816631130064E-4      1.871146441414959E-13
1.0980810234541578E-4     1.8791441889913988E-13
1.1023454157782515E-4     1.8871758899881552E-13
1.1066098081023454E-4     1.895241544405228E-13
1.1108742004264393E-4     1.9033411522426185E-13
1.115138592750533E-4      1.9114747135003248E-13
1.1194029850746269E-4     1.9196422281783488E-13
1.1236673773987208E-4     1.9278435186070856E-13
1.1279317697228145E-4     1.936077365966E-13
1.1321961620469083E-4     1.9443437702550919E-13
1.1364605543710021E-4     1.9526427314743613E-13
1.1407249466950959E-4     1.9609742496238092E-13
1.1449893390191897E-4     1.9693383247034343E-13
1.1492537313432836E-4     1.9777349567132372E-13
1.1535181236673775E-4     1.9861637470932424E-13
