% Model:              PLacek_MembTVNJ_ArticleDims_Rh20um_hg5um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 22 2025, 10:54
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(xi)
1.3358377124720805E-4     2.7928952410036512E-11
1.3401157646251088E-4     2.8060283858875918E-11
1.3443938167781368E-4     2.818993191036846E-11
1.3486718689311648E-4     2.8317896564514116E-11
1.3529499210841929E-4     2.844417782131291E-11
1.357227973237221E-4      2.856874959135741E-11
1.361506025390249E-4      2.8691592653498257E-11
1.365784077543277E-4      2.8812707007735438E-11
1.370062129696305E-4      2.8932092654068974E-11
1.374340181849333E-4      2.9049749592498865E-11
1.378618234002361E-4      2.916567782302509E-11
1.382896286155389E-4      2.927987734564766E-11
1.387174338308417E-4      2.9392325610299135E-11
1.391452390461445E-4      2.9503007061548983E-11
1.395730442614473E-4      2.961192169939721E-11
1.4000084947675013E-4     2.971906952384381E-11
1.4042865469205294E-4     2.98244505348888E-11
1.4085645990735574E-4     2.992806473253216E-11
1.4128426512265854E-4     3.00299121167739E-11
1.4171207033796137E-4     3.012997378942831E-11
1.4213987555326417E-4     3.022823785961587E-11
1.4256768076856697E-4     3.032470432733657E-11
1.4299548598386977E-4     3.041937319259039E-11
1.4342329119917258E-4     3.051224445537737E-11
1.4385109641447538E-4     3.0603318115697473E-11
1.442789016297782E-4      3.069259417355072E-11
1.44706706845081E-4       3.078005740341444E-11
1.451345120603838E-4      3.08656996471558E-11
1.4556231727568659E-4     3.094952090477481E-11
1.4599012249098941E-4     3.103152117627148E-11
1.4641792770629222E-4     3.111170046164579E-11
1.46845732921595E-4       3.119005876089775E-11
1.4727353813689782E-4     3.126659607402736E-11
1.4770134335220065E-4     3.134130091337151E-11
1.4812914856750345E-4     3.141416885032881E-11
1.4855695378280625E-4     3.1485199884899285E-11
1.4898475899810905E-4     3.155439401708292E-11
1.4941256421341186E-4     3.1621751246879724E-11
1.4984036942871466E-4     3.168727157428968E-11
1.502681746440175E-4      3.175095499931281E-11
1.5069597985932032E-4     3.1812793792862376E-11
1.511237850746231E-4      3.187278725593497E-11
1.515515902899259E-4      3.1930935388530576E-11
1.5197939550522872E-4     3.19872381906492E-11
1.5240720072053152E-4     3.204169566229085E-11
1.5283500593583433E-4     3.2094307803455516E-11
1.5326281115113713E-4     3.21450746141432E-11
1.5369061636643996E-4     3.219399213437935E-11
1.5411842158174273E-4     3.2241063377329374E-11
1.5454622679704553E-4     3.228628834299325E-11
1.5497403201234834E-4     3.232966703137098E-11
1.5540183722765116E-4     3.2371199442462575E-11
1.5582964244295397E-4     3.241088557626803E-11
1.5625744765825677E-4     3.244872543278734E-11
1.566852528735596E-4      3.248471881358082E-11
1.571130580888624E-4      3.251887241640355E-11
1.5754086330416517E-4     3.255118624125552E-11
1.57968668519468E-4       3.2581660288136754E-11
1.583964737347708E-4      3.261029455704723E-11
1.588242789500736E-4      3.2637089047986954E-11
1.592520841653764E-4      3.266204376095592E-11
1.596798893806792E-4      3.268516224364374E-11
1.60107694595982E-4       3.270645482544536E-11
1.6053549981128481E-4     3.272592150636076E-11
1.6096330502658764E-4     3.274356228638995E-11
1.6139111024189047E-4     3.275937716553294E-11
1.6181891545719325E-4     3.2773366143789715E-11
1.6224672067249608E-4     3.2785529221160283E-11
1.6267452588779888E-4     3.2795873652047615E-11
1.6310233110310168E-4     3.280441333628156E-11
1.6353013631840448E-4     3.281114827386213E-11
1.6395794153370728E-4     3.281607846478929E-11
1.6438574674901009E-4     3.281920390906309E-11
1.6481355196431292E-4     3.282052460668348E-11
1.6524135717961572E-4     3.282004055765049E-11
1.6566916239491852E-4     3.281776267206939E-11
1.6609696761022132E-4     3.281370834227286E-11
1.665247728255241E-4      3.280787756826088E-11
1.6695257804082692E-4     3.280027035003347E-11
1.6738038325612973E-4     3.2790886687590645E-11
1.6780818847143253E-4     3.277972658093237E-11
1.6823599368673533E-4     3.2766790030058666E-11
1.6866379890203816E-4     3.275209153419085E-11
1.6909160411734093E-4     3.273565188558135E-11
1.6951940933264374E-4     3.271747108423017E-11
1.6994721454794657E-4     3.269754913013731E-11
1.7037501976324937E-4     3.267588602330278E-11
1.7080282497855217E-4     3.265248176372655E-11
1.7123063019385497E-4     3.2627336351408647E-11
1.716584354091578E-4      3.260046779300633E-11
1.7208624062446057E-4     3.2571900174179805E-11
1.7251404583976338E-4     3.254163349492907E-11
1.7294185105506618E-4     3.250966775525412E-11
1.73369656270369E-4       3.2476002955154985E-11
1.737974614856718E-4      3.244063909463162E-11
1.742252667009746E-4      3.240357617368406E-11
1.7465307191627744E-4     3.236483561028254E-11
1.7508087713158024E-4     3.232444466348236E-11
1.7550868234688304E-4     3.228240333328353E-11
1.7593648756218587E-4     3.2238711619686035E-11
1.7636429277748868E-4     3.219336952268991E-11
1.767920979927915E-4      3.214637704229512E-11
1.772199032080943E-4      3.2097734178501674E-11
1.776477084233971E-4      3.204746565050335E-11
1.780755136386999E-4      3.199560175776031E-11
1.785033188540027E-4      3.1942142500272563E-11
1.7893112406930551E-4     3.1887087878040114E-11
1.793589292846083E-4      3.1830437891062965E-11
1.7978673449991112E-4     3.177219253934109E-11
1.802145397152139E-4      3.1712351822874517E-11
1.806423449305167E-4      3.165094363852088E-11
1.810701501458195E-4      3.1588001180787044E-11
1.8149795536112233E-4     3.1523524449672975E-11
1.8192576057642513E-4     3.145751344517869E-11
1.8235356579172793E-4     3.138996816730421E-11
1.8278137100703073E-4     3.1320888616049486E-11
1.8320917622233353E-4     3.125027479141456E-11
1.8363698143763634E-4     3.1178157631452747E-11
1.8406478665293914E-4     3.1104573068652286E-11
1.8449259186824194E-4     3.102952110301316E-11
1.8492039708354474E-4     3.0953001734535377E-11
1.8534820229884757E-4     3.087501496321895E-11
1.8577600751415034E-4     3.079556078906385E-11
