% Model:              ModelMicPlate_Rh100um_hg10um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:08
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(w2)
1.9327731092436962E-5     1.1112220953452877E-10
1.974789915966386E-5      1.1106504190682886E-10
2.0168067226890752E-5     1.1100666483694686E-10
2.0588235294117642E-5     1.1094707832488278E-10
2.1008403361344535E-5     1.1088628523110355E-10
2.1428571428571425E-5     1.1082429268678503E-10
2.1848739495798315E-5     1.1076110069192715E-10
2.2268907563025204E-5     1.1069670924653E-10
2.2689075630252094E-5     1.1063111835059352E-10
2.3109243697478987E-5     1.1056432800411773E-10
2.3529411764705877E-5     1.1049633820710262E-10
2.394957983193277E-5      1.1042715253097283E-10
2.436974789915966E-5      1.1035677878566569E-10
2.478991596638655E-5      1.1028521697118109E-10
2.521008403361344E-5      1.1021246708751914E-10
2.5630252100840332E-5     1.1013852913467981E-10
2.6050420168067226E-5     1.1006340311266306E-10
2.6470588235294115E-5     1.0998708902146892E-10
2.6890756302521005E-5     1.09909591138227E-10
2.7310924369747895E-5     1.0983091794216968E-10
2.7731092436974788E-5     1.0975106943329689E-10
2.8151260504201674E-5     1.0967004561160869E-10
2.8571428571428567E-5     1.0958784647710508E-10
2.899159663865546E-5      1.0950447202978603E-10
2.941176470588235E-5      1.0941992226965154E-10
2.983193277310924E-5      1.0933420217336975E-10
3.025210084033613E-5      1.0924732087913186E-10
3.067226890756302E-5      1.0915927838693777E-10
3.109243697478991E-5      1.090700746967876E-10
3.1512605042016806E-5     1.0897970980868131E-10
3.1932773109243696E-5     1.0888818372261887E-10
3.2352941176470585E-5     1.0879549643860029E-10
3.2773109243697475E-5     1.0870165362576303E-10
3.3193277310924365E-5     1.0860666507005791E-10
3.3613445378151255E-5     1.0851053077148493E-10
3.4033613445378144E-5     1.0841325073004411E-10
3.445378151260504E-5      1.0831482494573545E-10
3.487394957983193E-5      1.0821525341855893E-10
3.529411764705882E-5      1.0811453614851456E-10
3.571428571428571E-5      1.0801267948923229E-10
3.61344537815126E-5       1.07909693862399E-10
3.6554621848739496E-5     1.0780557926801467E-10
3.697478991596638E-5      1.0770033570607937E-10
3.7394957983193276E-5     1.0759396317659304E-10
3.781512605042017E-5      1.074864616795557E-10
3.8235294117647055E-5     1.0737783121496736E-10
3.8655462184873945E-5     1.0726807881208717E-10
3.907563025210084E-5      1.0715721551549508E-10
3.949579831932773E-5      1.0704524132519097E-10
3.991596638655462E-5      1.0693215624117492E-10
4.033613445378151E-5      1.0681796026344694E-10
4.075630252100841E-5      1.0670265339200697E-10
