% Model:              ModelMicPlate_Rh20um_hg5um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 21 2025, 13:50
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(w2)
1.1617021276595738E-4     4.5112498593191154E-12
1.1659574468085099E-4     4.53700922061266E-12
1.1702127659574462E-4     4.562483878045047E-12
1.1744680851063824E-4     4.587673831616278E-12
1.1787234042553185E-4     4.6125790813263476E-12
1.1829787234042546E-4     4.63719962717526E-12
1.1872340425531909E-4     4.661528877100038E-12
1.191489361702127E-4      4.685562774205506E-12
1.1957446808510631E-4     4.709301318491663E-12
1.1999999999999994E-4     4.732744509958509E-12
1.2042553191489355E-4     4.7558923486060476E-12
1.2085106382978716E-4     4.778744834434273E-12
1.2127659574468078E-4     4.801301967443189E-12
1.2170212765957441E-4     4.82355781243089E-12
1.2212765957446802E-4     4.845509085516153E-12
1.2255319148936163E-4     4.867155786698973E-12
1.2297872340425524E-4     4.8884979159793555E-12
1.2340425531914888E-4     4.9095354733573E-12
1.238297872340425E-4      4.930268458832802E-12
1.242553191489361E-4      4.950696872405865E-12
1.246808510638297E-4      4.970815459448636E-12
1.2510638297872332E-4     4.990621717350916E-12
1.2553191489361694E-4     5.010115646112702E-12
1.2595744680851055E-4     5.029297245733997E-12
1.2638297872340416E-4     5.0481665162148E-12
1.268085106382978E-4      5.066723457555108E-12
1.272340425531914E-4      5.084968069754926E-12
1.2765957446808505E-4     5.102895798970943E-12
1.2808510638297863E-4     5.120504928303663E-12
1.2851063829787224E-4     5.137795457753083E-12
1.2893617021276588E-4     5.154767387319207E-12
1.293617021276595E-4      5.171420717002035E-12
1.297872340425531E-4      5.187755446801563E-12
1.302127659574467E-4      5.203771576717794E-12
1.3063829787234032E-4     5.219465270314776E-12
1.3106382978723396E-4     5.234835597018524E-12
1.3148936170212755E-4     5.24988255682904E-12
1.3191489361702118E-4     5.2646061497463224E-12
1.3234042553191482E-4     5.279006375770373E-12
1.3276595744680843E-4     5.2930832349011885E-12
1.3319148936170205E-4     5.306836727138772E-12
1.3361702127659568E-4     5.320263746422644E-12
1.340425531914893E-4      5.3333641453053536E-12
1.344680851063829E-4      5.346137923786899E-12
1.3489361702127652E-4     5.358585081867281E-12
1.3531914893617016E-4     5.370705619546501E-12
1.3574468085106377E-4     5.382499536824554E-12
1.3617021276595738E-4     5.393966833701446E-12
1.36595744680851E-4       5.4051051437575165E-12
1.370212765957446E-4      5.415915095688293E-12
1.374468085106382E-4      5.426396689493777E-12
1.3787234042553182E-4     5.436549925173967E-12
1.3829787234042546E-4     5.4463748027288655E-12
1.3872340425531907E-4     5.4558713221584684E-12
1.3914893617021268E-4     5.465039483462779E-12
1.395744680851063E-4      5.4738776653953975E-12
1.399999999999999E-4      5.4823872620749565E-12
1.4042553191489352E-4     5.490568273501457E-12
1.4085106382978716E-4     5.4984206996748985E-12
1.4127659574468077E-4     5.505944540595283E-12
1.4170212765957438E-4     5.513139796262607E-12
1.42127659574468E-4       5.520006466676873E-12
1.4255319148936163E-4     5.526543677552854E-12
1.429787234042552E-4      5.532753574042252E-12
1.4340425531914882E-4     5.53863615614507E-12
1.4382978723404246E-4     5.5441914238613056E-12
1.4425531914893607E-4     5.549419377190961E-12
1.446808510638297E-4      5.554320016134032E-12
1.4510638297872332E-4     5.558893340690523E-12
1.4553191489361696E-4     5.563139221587138E-12
1.4595744680851054E-4     5.567060537031909E-12
1.4638297872340416E-4     5.570657287024836E-12
1.468085106382978E-4      5.573929471565921E-12
1.472340425531914E-4      5.576877090655163E-12
1.4765957446808502E-4     5.5795001442925595E-12
1.4808510638297863E-4     5.5817986324781145E-12
1.4851063829787224E-4     5.5837731652896795E-12
1.4893617021276588E-4     5.585427332529022E-12
1.493617021276595E-4      5.5867611341961414E-12
1.497872340425531E-4      5.5877745702910384E-12
1.5021276595744674E-4     5.588467640813714E-12
1.5063829787234035E-4     5.588840345764167E-12
1.5106382978723396E-4     5.5888926851423975E-12
1.5148936170212757E-4     5.588625999048657E-12
1.519148936170212E-4      5.5880445640475195E-12
1.523404255319148E-4      5.587148380138986E-12
1.5276595744680843E-4     5.5859374473230546E-12
1.5319148936170204E-4     5.584411765599729E-12
1.5361702127659563E-4     5.5825713349690035E-12
1.5404255319148927E-4     5.580416155430883E-12
1.5446808510638288E-4     5.5779482841730185E-12
1.548936170212765E-4      5.5751726564566595E-12
1.553191489361701E-4      5.572089272281807E-12
1.557446808510637E-4      5.568698131648461E-12
1.5617021276595732E-4     5.564999234556623E-12
1.5659574468085093E-4     5.560992581006289E-12
1.5702127659574457E-4     5.556678170997463E-12
1.574468085106382E-4      5.5520587623432074E-12
1.578723404255318E-4      5.547139917848389E-12
1.5829787234042543E-4     5.541921637513006E-12
1.5872340425531904E-4     5.536403921337059E-12
1.5914893617021266E-4     5.530586769320551E-12
1.595744680851063E-4      5.524470181463476E-12
1.599999999999999E-4      5.5180541577658384E-12
1.6042553191489354E-4     5.5113421367731226E-12
1.6085106382978715E-4     5.504340274756572E-12
1.6127659574468077E-4     5.497048571716188E-12
1.6170212765957438E-4     5.489467027651967E-12
1.62127659574468E-4       5.481595642563914E-12
1.6255319148936163E-4     5.473434416452025E-12
1.6297872340425524E-4     5.464983349316301E-12
1.6340425531914885E-4     5.456246537223278E-12
1.6382978723404246E-4     5.447230693085056E-12
1.642553191489361E-4      5.437935816901637E-12
1.646808510638297E-4      5.4283619086730214E-12
1.6510638297872332E-4     5.418508968399208E-12
1.6553191489361693E-4     5.408376996080197E-12
1.6595744680851054E-4     5.397965991715988E-12
1.6638297872340415E-4     5.387280682492742E-12
1.668085106382978E-4      5.37632829857803E-12
1.6723404255319138E-4     5.36510883997185E-12
1.6765957446808501E-4     5.3536223066742046E-12
1.6808510638297863E-4     5.341868698685094E-12
1.6851063829787224E-4     5.329848016004514E-12
1.6893617021276588E-4     5.3175602586324685E-12
1.693617021276595E-4      5.305010755426476E-12
1.697872340425531E-4      5.292207212064124E-12
1.702127659574467E-4      5.2791496285454144E-12
1.7063829787234032E-4     5.265838004870346E-12
1.7106382978723396E-4     5.252272341038921E-12
1.7148936170212757E-4     5.238452637051135E-12
1.7191489361702118E-4     5.224378892906993E-12
1.7234042553191482E-4     5.210057006797858E-12
1.7276595744680843E-4     5.1954951160157695E-12
1.7319148936170204E-4     5.180693220560723E-12
1.7361702127659565E-4     5.16565132043272E-12
1.7404255319148926E-4     5.150369415631763E-12
1.744680851063829E-4      5.1348475061578486E-12
1.7489361702127651E-4     5.119085592010979E-12
1.7531914893617015E-4     5.103090105660491E-12
1.7574468085106374E-4     5.086869570186286E-12
1.7617021276595735E-4     5.070423985588361E-12
1.7659574468085099E-4     5.053753351866719E-12
1.770212765957446E-4      5.03685766902136E-12
1.774468085106382E-4      5.01973693705228E-12
1.7787234042553182E-4     5.002391155959483E-12
1.7829787234042543E-4     4.984827254899026E-12
1.7872340425531904E-4     4.9670540952082856E-12
1.7914893617021265E-4     4.94907167688726E-12
1.795744680851063E-4      4.930879999935949E-12
1.7999999999999993E-4     4.912479064354358E-12
1.8042553191489351E-4     4.893868870142479E-12
1.8085106382978715E-4     4.875049417300317E-12
1.8127659574468076E-4     4.856028091738519E-12
1.8170212765957437E-4     4.836814044051459E-12
1.8212765957446799E-4     4.8174072742391354E-12
1.825531914893616E-4      4.797807782301551E-12
1.829787234042552E-4      4.778015568238705E-12
1.8340425531914882E-4     4.7580306320505956E-12
1.8382978723404243E-4     4.737852973737225E-12
