% Model:              ModelMicPlate_Rh100um_hg10um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:08
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(w2)
3.991596638655462E-5      1.3867858882382019E-11
4.033613445378151E-5      1.3850234415295594E-11
4.075630252100841E-5      1.3832441082468233E-11
4.11764705882353E-5       1.3814478883899937E-11
4.1596638655462194E-5     1.3796349242077608E-11
4.2016806722689084E-5     1.3778054316525758E-11
4.2436974789915967E-5     1.3759594107244378E-11
4.285714285714286E-5      1.374096861423348E-11
4.327731092436975E-5      1.3722177837493059E-11
4.369747899159664E-5      1.3703221777023114E-11
4.411764705882353E-5      1.3684100432823643E-11
4.453781512605042E-5      1.3664815349360454E-11
4.495798319327731E-5      1.3645368797899177E-11
4.53781512605042E-5       1.3625760778439807E-11
4.5798319327731085E-5     1.3605991290982347E-11
4.621848739495798E-5      1.3586060335526799E-11
4.6638655462184864E-5     1.3565967912073157E-11
4.7058823529411754E-5     1.3545714020621426E-11
4.747899159663865E-5      1.3525300325695909E-11
4.789915966386554E-5      1.3504729207700211E-11
4.831932773109242E-5      1.3484000666634323E-11
4.873949579831932E-5      1.3463114702498255E-11
4.915966386554621E-5      1.3442071315291999E-11
4.95798319327731E-5       1.3420870505015559E-11
4.999999999999999E-5      1.3399512271668931E-11
5.042016806722688E-5      1.3377998397767517E-11
5.0840336134453775E-5     1.3356331370105668E-11
5.1260504201680665E-5     1.3334511188683377E-11
5.1680672268907555E-5     1.3312537853500651E-11
5.210084033613445E-5      1.3290411364557485E-11
5.252100840336134E-5      1.3268131721853883E-11
5.294117647058823E-5      1.3245698925389843E-11
5.336134453781512E-5      1.3223114873461247E-11
5.378151260504201E-5      1.320038215635762E-11
5.420168067226891E-5      1.3177500774078953E-11
5.462184873949579E-5      1.315447072662526E-11
5.5042016806722686E-5     1.3131292013996538E-11
5.546218487394958E-5      1.3107964636192779E-11
5.5882352941176466E-5     1.308448859321399E-11
5.6302521008403355E-5     1.3060865896782349E-11
5.6722689075630245E-5     1.3037099237637477E-11
5.714285714285714E-5      1.3013188615779374E-11
5.7563025210084025E-5     1.2989134031208043E-11
5.798319327731092E-5      1.2964935483923482E-11
5.840336134453782E-5      1.2940592973925688E-11
5.88235294117647E-5       1.2916106501214665E-11
5.92436974789916E-5       1.289147818844123E-11
5.966386554621848E-5      1.286671082359536E-11
6.008403361344538E-5      1.2841804406677044E-11
6.050420168067226E-5      1.2816758937686294E-11
6.0924369747899156E-5     1.2791574416623107E-11
6.134453781512605E-5      1.2766250843487478E-11
6.176470588235294E-5      1.2740788218279411E-11
6.218487394957983E-5      1.2715188771937208E-11
6.260504201680672E-5      1.2689455386339887E-11
6.302521008403361E-5      1.2663588061487437E-11
6.34453781512605E-5       1.2637586797379867E-11
6.386554621848739E-5      1.2611451594017172E-11
6.428571428571429E-5      1.2585182451399355E-11
6.470588235294117E-5      1.2558779369526417E-11
6.512605042016805E-5      1.25322446848389E-11
6.554621848739495E-5      1.2505581369571585E-11
6.596638655462185E-5      1.2478789423724463E-11
6.638655462184873E-5      1.2451868847297545E-11
6.680672268907563E-5      1.2424819640290823E-11
6.722689075630252E-5      1.2397641802704298E-11
6.76470588235294E-5       1.2370335334537973E-11
6.806722689075629E-5      1.2342902674803783E-11
6.848739495798319E-5      1.231534688237211E-11
6.890756302521008E-5      1.2287667957242948E-11
6.932773109243696E-5      1.2259865899416303E-11
6.974789915966386E-5      1.2231940708892176E-11
7.016806722689076E-5      1.2203892385670561E-11
7.058823529411764E-5      1.217572092975146E-11
7.100840336134452E-5      1.2147428879639017E-11
7.142857142857142E-5      1.2119019376910601E-11
7.184873949579832E-5      1.2090492421566205E-11
7.22689075630252E-5       1.2061848013605837E-11
7.26890756302521E-5       1.2033086153029495E-11
7.310924369747899E-5      1.2004206839837177E-11
7.352941176470588E-5      1.1975210074028882E-11
7.394957983193276E-5      1.1946098490369118E-11
7.436974789915967E-5      1.1916875308974184E-11
7.478991596638655E-5      1.1887540529844073E-11
7.521008403361343E-5      1.1858094152978792E-11
7.563025210084034E-5      1.1828536178378337E-11
7.605042016806723E-5      1.1798866606042709E-11
7.647058823529412E-5      1.1769085435971906E-11
7.689075630252102E-5      1.1739195395800466E-11
7.73109243697479E-5       1.1709199779731006E-11
7.773109243697479E-5      1.1679098587763519E-11
7.815126050420167E-5      1.1648891819898009E-11
7.857142857142857E-5      1.1618579476134476E-11
7.899159663865546E-5      1.158816155647292E-11
7.941176470588235E-5      1.155763806091334E-11
7.983193277310923E-5      1.152701180640764E-11
8.025210084033613E-5      1.1496286156436445E-11
8.067226890756302E-5      1.146546111099975E-11
8.10924369747899E-5       1.1434536670097563E-11
8.151260504201682E-5      1.140351283372988E-11
8.19327731092437E-5       1.1372389601896698E-11
8.23529411764706E-5       1.134116697459802E-11
8.277310924369749E-5      1.1309847854441277E-11
8.319327731092437E-5      1.1278435668842795E-11
8.361344537815127E-5      1.124693041780257E-11
8.403361344537815E-5      1.121533210132061E-11
8.445378151260505E-5      1.1183640719396907E-11
8.487394957983195E-5      1.1151856272031465E-11
8.529411764705883E-5      1.1119978759224284E-11
8.571428571428573E-5      1.1088011165835285E-11
8.613445378151261E-5      1.1055956976716964E-11
8.655462184873949E-5      1.1023816191869311E-11
8.697478991596639E-5      1.0991588811292334E-11
8.739495798319329E-5      1.0959274834986034E-11
8.781512605042018E-5      1.0926874262950403E-11
8.823529411764706E-5      1.0894387095185447E-11
8.865546218487395E-5      1.0861816397783998E-11
8.907563025210084E-5      1.0829165702352871E-11
8.949579831932774E-5      1.0796435008892062E-11
8.991596638655461E-5      1.0763624317401576E-11
9.033613445378152E-5      1.073073362788141E-11
9.075630252100842E-5      1.0697762940331566E-11
9.11764705882353E-5       1.0664712254752043E-11
9.15966386554622E-5       1.063158473258746E-11
9.201680672268908E-5      1.0598383920166394E-11
9.243697478991596E-5      1.0565109817488832E-11
9.285714285714286E-5      1.0531762424554786E-11
9.327731092436976E-5      1.0498341741364255E-11
9.369747899159665E-5      1.0464847767917233E-11
9.411764705882353E-5      1.0431280504213723E-11
9.453781512605042E-5      1.0397643309400416E-11
9.495798319327731E-5      1.036393959314024E-11
9.53781512605042E-5       1.0330169355433194E-11
9.57983193277311E-5       1.0296332596279282E-11
9.621848739495799E-5      1.0262429315678503E-11
9.663865546218487E-5      1.0228459513630855E-11
9.705882352941177E-5      1.0194423190136338E-11
9.747899159663867E-5      1.0160324165571316E-11
9.789915966386555E-5      1.0126165514993517E-11
9.831932773109245E-5      1.0091947238402932E-11
9.873949579831933E-5      1.0057669335799568E-11
9.915966386554623E-5      1.0023331807183428E-11
9.957983193277312E-5      9.988934652554505E-12
1.0E-4                    9.954477871912798E-12
