% Model:              ModelMicPlate_Rh20um_hg5um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 21 2025, 13:46
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(w2)
7.06382978723404E-5       -8.796137952047639E-11
7.106382978723402E-5      -8.7825534025468E-11
7.148936170212763E-5      -8.768901913166144E-11
7.191489361702124E-5      -8.755183483905669E-11
7.234042553191486E-5      -8.741398114765377E-11
7.276595744680848E-5      -8.727545805745272E-11
7.31914893617021E-5       -8.713626556845344E-11
7.361702127659572E-5      -8.699640368065602E-11
7.404255319148934E-5      -8.685587979158786E-11
7.446808510638294E-5      -8.671470282297452E-11
7.489361702127655E-5      -8.657287277481593E-11
7.531914893617019E-5      -8.643038964711213E-11
7.574468085106379E-5      -8.628725343986317E-11
7.617021276595741E-5      -8.614346415306894E-11
7.659574468085102E-5      -8.599902178672953E-11
7.702127659574463E-5      -8.585393396575205E-11
7.744680851063826E-5      -8.57082098105578E-11
7.787234042553187E-5      -8.556184932114673E-11
7.82978723404255E-5       -8.541485249751887E-11
7.87234042553191E-5       -8.526721933967423E-11
7.914893617021272E-5      -8.511894984761277E-11
7.957446808510634E-5      -8.497004402133453E-11
7.999999999999997E-5      -8.482050970778487E-11
8.042553191489356E-5      -8.467035622195668E-11
8.085106382978717E-5      -8.451958356384997E-11
8.12765957446808E-5       -8.436819173346478E-11
8.170212765957441E-5      -8.421618073080108E-11
8.212765957446802E-5      -8.406355055585884E-11
8.255319148936163E-5      -8.391030120863812E-11
8.297872340425526E-5      -8.375644075303375E-11
8.340425531914888E-5      -8.360197869465547E-11
8.38297872340425E-5       -8.344691503350322E-11
8.425531914893612E-5      -8.329124976957704E-11
8.468085106382974E-5      -8.313498290287699E-11
8.510638297872335E-5      -8.297811443340297E-11
8.553191489361698E-5      -8.282064436115503E-11
8.59574468085106E-5       -8.266258096212333E-11
8.638297872340422E-5      -8.25039339287373E-11
8.680851063829783E-5      -8.234470326099686E-11
8.723404255319144E-5      -8.21848889589021E-11
8.765957446808508E-5      -8.202449102245301E-11
8.808510638297869E-5      -8.18635094516495E-11
8.85106382978723E-5       -8.170194424649168E-11
8.893617021276592E-5      -8.153980389042718E-11
8.936170212765952E-5      -8.137709825905733E-11
8.978723404255313E-5      -8.12138273523821E-11
9.021276595744674E-5      -8.104999117040146E-11
9.063829787234035E-5      -8.088558971311549E-11
9.106382978723398E-5      -8.072062298052412E-11
9.148936170212759E-5      -8.055509097262739E-11
9.191489361702122E-5      -8.038900237589541E-11
9.234042553191483E-5      -8.022236724559265E-11
9.276595744680844E-5      -8.005518558171913E-11
9.319148936170208E-5      -7.988745738427481E-11
9.361702127659569E-5      -7.971918265325977E-11
9.40425531914893E-5       -7.955036138867391E-11
9.446808510638292E-5      -7.938099359051729E-11
9.489361702127655E-5      -7.921108814403502E-11
9.531914893617015E-5      -7.904065528077913E-11
9.574468085106377E-5      -7.886969500074968E-11
9.617021276595738E-5      -7.869820730394664E-11
9.6595744680851E-5        -7.852619219037003E-11
9.702127659574462E-5      -7.835364966001982E-11
9.744680851063823E-5      -7.818057971289602E-11
9.787234042553185E-5      -7.800699142894703E-11
9.829787234042548E-5      -7.783289521276249E-11
9.872340425531908E-5      -7.765829106434241E-11
9.914893617021271E-5      -7.74831789836868E-11
9.957446808510633E-5      -7.730755897079567E-11
9.999999999999995E-5      -7.713143102566897E-11
1.0042553191489358E-4     -7.695479514830675E-11
1.008510638297872E-4      -7.677766060945456E-11
1.012765957446808E-4      -7.660003798360774E-11
1.0170212765957441E-4     -7.642192727076632E-11
1.0212765957446803E-4     -7.624332847093024E-11
1.0255319148936166E-4     -7.606424158409957E-11
1.0297872340425527E-4     -7.588466661027423E-11
1.0340425531914888E-4     -7.57046035494543E-11
1.038297872340425E-4      -7.552406185943131E-11
1.0425531914893612E-4     -7.534305228158761E-11
1.0468085106382971E-4     -7.516157481592318E-11
1.0510638297872335E-4     -7.497962946243806E-11
1.0553191489361695E-4     -7.479721622113225E-11
1.0595744680851058E-4     -7.46143350920057E-11
1.0638297872340419E-4     -7.443098607505846E-11
1.068085106382978E-4      -7.424717881152262E-11
1.0723404255319141E-4     -7.406292420675597E-11
1.0765957446808503E-4     -7.387822226075857E-11
1.0808510638297865E-4     -7.369307297353039E-11
1.0851063829787227E-4     -7.350747634507142E-11
1.0893617021276588E-4     -7.332143237538166E-11
1.093617021276595E-4      -7.313494106446114E-11
1.0978723404255313E-4     -7.294801223351502E-11
1.1021276595744674E-4     -7.276065694906678E-11
1.1063829787234035E-4     -7.257287521111642E-11
1.1106382978723399E-4     -7.238466701966394E-11
1.114893617021276E-4      -7.219603237470938E-11
1.1191489361702123E-4     -7.200697127625266E-11
1.1234042553191484E-4     -7.181748372429385E-11
1.1276595744680846E-4     -7.162757971667408E-11
1.1319148936170207E-4     -7.143727047836945E-11
1.1361702127659569E-4     -7.124655600937995E-11
1.140425531914893E-4      -7.10554363097056E-11
1.1446808510638292E-4     -7.086391137934639E-11
1.1489361702127652E-4     -7.06719812183023E-11
1.1531914893617014E-4     -7.047964582657337E-11
1.1574468085106377E-4     -7.02869153754226E-11
1.1617021276595738E-4     -7.009380124565833E-11
1.1659574468085099E-4     -6.990030343728059E-11
1.1702127659574462E-4     -6.970642195028934E-11
1.1744680851063824E-4     -6.951215678468465E-11
1.1787234042553185E-4     -6.931750794046644E-11
1.1829787234042546E-4     -6.912247541763474E-11
1.1872340425531909E-4     -6.892706955777706E-11
1.191489361702127E-4      -6.873130189500169E-11
1.1957446808510631E-4     -6.853517242930861E-11
1.1999999999999994E-4     -6.833868116069784E-11
1.2042553191489355E-4     -6.814182808916938E-11
1.2085106382978716E-4     -6.79446132147232E-11
1.2127659574468078E-4     -6.774703653735934E-11
1.2170212765957441E-4     -6.754910856600365E-11
1.2212765957446802E-4     -6.735084098561558E-11
1.2255319148936163E-4     -6.71522337961951E-11
1.2297872340425524E-4     -6.695328699774223E-11
1.2340425531914888E-4     -6.675400059025698E-11
1.238297872340425E-4      -6.655437457373931E-11
1.242553191489361E-4      -6.635440894818926E-11
1.246808510638297E-4      -6.615411438698967E-11
1.2510638297872332E-4     -6.595350272358287E-11
1.2553191489361694E-4     -6.575257395796883E-11
1.2595744680851055E-4     -6.555132809014759E-11
1.2638297872340416E-4     -6.534976512011912E-11
1.268085106382978E-4      -6.514788504788343E-11
1.272340425531914E-4      -6.494568787344054E-11
1.2765957446808505E-4     -6.47431844318489E-11
1.2808510638297863E-4     -6.454038670274213E-11
